CBSA,CBSA Title,MSA_central_outlying,Year,NAME,zip_code,total_population,median_age_all,median_age_white,median_age_black,avg_hhd_sz_all,avg_hhd_sz_ownocc,avg_hhd_sz_renter,median_hhd_inc_all,median_hhd_inc_white,median_hhd_inc_black,median_hhd_inc_hisp,median_gross_rent,med_gr_rent_pct_hhd_inc,house_value_q1,house_value_median,house_value_q3,race_pct_white,race_pct_black,race_pct_amerind_aknat,race_pct_asian,race_pct_pacisld,race_pct_other,race_pct_twoplus,ethnicity_pct_hisp,geomob_same_house_1yr_all,geomob_same_house_1yr_white,geomob_same_house_1yr_black,geomob_moved_in_county_1yr_all,geomob_moved_in_county_1yr_white,geomob_moved_in_county_1yr_black,geomob_moved_diff_state_1yr_all,geomob_moved_diff_state_1yr_white,geomob_moved_diff_state_1yr_black,occupied_housing_pct_pop,occupied_owner_pct_pop,occupied_renter_pct_pop,hhd_pct_no_vehicle,hhd_4plus_no_vehicle,houseburden_over30pct_inc_renters,houseburden_over30pct_inc_own_mrtg,houseburden_over30pct_inc_own_nomrtg,houseburden_over30pct_inc_all,edu_pop_no_hs_diploma,edu_pop_bach_degree_plus,edu_pop_grad_degree_plus,hhd_comp_pct_married,hhd_comp_pct_married_chldrn,hhd_comp_pct_sgl_prnt,pop_pct_65over,pop_below_poverty_all,pop_below_poverty_white,pop_below_poverty_black,pop_over65_live_alone,pop_pct_disability,hhd_pct_food_assist,hhd_chld_pct_food_assist,hhd_sglprt_pct_food_assist,pop_pct_medicaid,pop_pct_no_hltinsur,supermarkets,ConvenienceStore,AlcoholStore,PhysicianOffice,MentalHlthSpecialist,MentalHlthPractice,ChildcareFacility,fast_food,BINGE,BPHIGH,BPMED,CHECKUP,COREM,COREW,CSMOKING,DENTAL,DEPRESSION,DIABETES,GHLTH,LPA,MHLTH,OBESITY,PHLTH,SLEEP,NatWalkInd_zip,calc_mhv_to_mhi_all,calc_mhv_to_mhi_white,calc_mhv_to_mhi_black,calc_mhv_to_mhi_hisp,calc_houseburden_renter_salary_need,calc_houseburden_renter_salary_gap_white,calc_houseburden_renter_salary_gap_black,flag_vuln_BDC_rpt,BP_rank,flag_bp_group,median_hhd_inc_white_PctChg,median_hhd_inc_black_PctChg,median_gross_rent_PctChg,vcnthouse_value_median_PctChg,houseburden_over30pct_inc_renters_Chg,houseburden_over30pct_inc_all_Chg,pop_below_poverty_all_Chg,pop_below_poverty_white_Chg,pop_below_poverty_black_Chg,calc_mhv_to_mhi_all_Chg,calc_mhv_to_mhi_white_Chg,calc_mhv_to_mhi_black_Chg,calc_houseburden_renter_salary_need_PctChg,tbl_datetime
17300,"Clarksville, TN-KY",Central,2015,ZCTA5 37010,37010,5648,38.4,40.1,54.5,2.96,2.81,3.93,75568,77062,,,952,35.4,137100,234000,299700,0.914305949,0.01203966,0,0.002478754,0.017705382,0.02177762,0.031692635,0.069228045,0.853553482,0.842374214,0.882352941,0.052943288,0.055621069,0.117647059,0.017946877,0.019654088,0,0.98796034,0.826523297,0.173476703,0.021220159,0.038251366,0.524390244,0.157232704,0.070342205,0.180901857,0.067686722,0.287085062,0.099325726,0.699204244,0.360208062,0.111183355,0.111898017,0.102959641,0.09310548,0.25,0.175632911,0.170749151,0.067374005,0.042440318,0.009549072,0.072054354,0.14857858,,,,,,,,,,,,,,,,,,,,,,,,,,3.096548804,3.036516052,,,38080,38982,,,,,,,,,,,,,,,,,,12/5/22 9:15
17300,"Clarksville, TN-KY",Central,2020,ZCTA5 37010,37010,5096,41.1,40.2,49.6,2.92,2.89,3.29,93794,97375,,77226,2016,25.4,207100,269500,384800,0.86244113,0.086930926,0.000588697,0.003924647,0.011970173,0.003924647,0.03021978,0.080651491,0.910498115,0.905947441,0.948081264,0.035126017,0.040802213,0,0.033141496,0.028584601,0.051918736,0.996271586,0.910577112,0.089422888,0.062788018,0,0.130434783,0.219909502,0.204868154,0.208525346,0.095238095,0.379396203,0.16215375,0.667050691,0.275345622,0.076612903,0.116954474,0.048292108,0.051445481,0.045146727,0.414965986,0.133667335,0.082949309,0.035138249,0.010368664,0.117034068,0.048697395,,,,,,,,,0.156,0.333,0.732,0.733,0.369,0.363,0.201,0.657,0.265,0.097,0.128,0.217,0.162,0.341,0.095,0.349,5.051855782,2.873318123,2.767650834,,3.489757336,80640,16735,,0,0.102419355,1_Low,0.263592951,,1.117647059,0.151709402,-0.393955461,0.027623489,-0.054667533,-0.041659999,-0.204853273,-0.223230681,-0.268865218,,1.117647059,12/5/22 9:15
99999,,Outlying,2015,ZCTA5 37012,37012,2637,42.1,41.7,42.6,2.75,2.92,2.35,44758,45078,41250,,731,32.6,69400,111700,164000,0.975729996,0.015547971,0.008342814,0.000379219,0,0,0,0,0.85970948,0.860501567,0.902439024,0.07530581,0.077194357,0,0.001146789,0.001175549,0,1,0.752749336,0.247250664,0.037578288,0,0.435251799,0.103151862,0.102719033,0.199373695,0.182718767,0.039625757,0.01210787,0.630480167,0.342178771,0.069832402,0.144482366,0.114427861,0.102393095,0.390243902,0.183727034,0.218050815,0.169102296,0.054279749,0.01565762,0.191505499,0.109594236,,,,,,,,,,,,,,,,,,,,,,,,,,2.495643237,2.477927148,2.707878788,,29240,15838,12010,,,,,,,,,,,,,,,,,12/5/22 9:15
99999,,Outlying,2020,ZCTA5 37012,37012,1954,45.1,45.6,16.2,2.32,2.44,1.82,49883,55087,,,432,23.8,104300,143800,231000,0.933981576,0.029170931,0,0.007676561,0,0.023029683,0.006141249,0.023541453,0.94921466,0.953307393,1,0.018324607,0.019455253,0,0.002617801,0.002779322,0,1,0.843909928,0.156090072,0.09489917,0,0.357142857,0.161879896,0.078767123,0.172004745,0.142465753,0.110273973,0.012328767,0.533807829,0.170818505,0.046263345,0.201637666,0.078812692,0.051506849,0.824561404,0.274111675,0.129477994,0.129300119,0.056939502,0.046263345,0.185261003,0.09877175,,,,,,,,,0.143,0.392,0.766,0.746,0.371,0.336,0.238,0.569,0.267,0.121,0.169,0.257,0.169,0.38,0.12,0.343,4.440015943,2.882745625,2.610416251,,,17280,37807,,0,0.395967742,2_Mod,0.222037357,,-0.409028728,0.287376902,-0.078108941,-0.02736895,-0.035615169,-0.050886246,0.434317501,0.387102388,0.132489102,,-0.409028728,12/5/22 9:15
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,2015,ZCTA5 37013,37013,90073,31.8,33.9,30.9,2.71,2.89,2.5,48423,52955,45627,42272,866,28.7,116000,147600,176800,0.475958389,0.38012501,0.005406726,0.036414908,0.000899271,0.067056721,0.034138976,0.154630133,0.82309217,0.812467422,0.829950211,0.118940896,0.123276311,0.120555048,0.026838003,0.031441027,0.016645553,0.997668558,0.582954052,0.417045948,0.033849684,0.012577034,0.4437858,0.320480031,0.119831815,0.359090497,0.118441684,0.323845133,0.092854558,0.40592445,0.331138104,0.20805893,0.05487771,0.135812783,0.153574105,0.102844254,0.209389281,0.078527798,0.137512456,0.091463599,0.048796691,0.176325949,0.184915275,,,,,,,,,,,,,,,,,,,,,,,,,,3.048138281,2.787272212,3.234926688,3.491672975,34640,18315,10987,,,,,,,,,,,,,,,,,12/5/22 9:15
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,2020,ZCTA5 37013,37013,99109,31.8,32.9,31.3,2.73,2.88,2.54,60602,61507,59078,53104,1182,28.6,158100,205800,263300,0.524483145,0.350533251,0.000787012,0.040167896,0,0.042165696,0.041862999,0.179620418,0.836579465,0.829423265,0.83109708,0.099065114,0.085591398,0.122453156,0.031388388,0.045102639,0.017510012,0.997467435,0.589046916,0.410953084,0.028439683,0.00789166,0.441349157,0.271190534,0.087016195,0.327884695,0.121884904,0.313512557,0.092378976,0.419361074,0.221691471,0.081039291,0.065150491,0.16030395,0.189518386,0.116406114,0.261184625,0.098563064,0.104812657,0.067261231,0.023580087,0.228413101,0.157314619,10,7,7,15,,,6,39,0.169,0.305,0.689,0.724,0.313,0.357,0.216,0.551,0.246,0.098,0.153,0.237,0.177,0.343,0.095,0.367,7.958652107,3.395927527,3.345960622,3.483530248,3.875414281,47280,14227,11798,0,0.04516129,1_Low,0.161495609,0.294803515,0.364896074,0.394308943,-0.002436643,-0.031205802,0.024491167,0.035944281,0.013561859,0.347789246,0.55868841,0.24860356,0.364896074,12/5/22 9:15
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,2015,ZCTA5 37014,37014,2500,40.8,40.7,,3.07,3.26,1.83,87566,83068,,,832,33.1,280800,410600,648900,0.9,0,0,0.1,0,0,0,0.0084,0.880741338,0.867383513,,0.025382756,0.028225806,,0.055600322,0.061827957,,1,0.918,0.082,0,0,0.232142857,0.101832994,0.047169811,0.105521472,0.081081081,0.438307873,0.168625147,0.662576687,0.529900332,0.029900332,0.1076,0.014344262,0.015981735,,0.286245353,0.0764,0.033128834,0.02208589,0.02208589,0.0868,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,4.689034557,4.942938316,,,33280,49788,,,,,,,,,,,,,,,,,,12/5/22 9:15
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,2020,ZCTA5 37014,37014,2858,50.5,50.4,,2.25,2.25,2.21,123137,122525,,,,,417200,549700,713500,0.963960812,0.00349895,0,0,0,0,0.032540238,0.011196641,0.848956491,0.871145374,1,0.064732932,0.067180617,0,0.086310577,0.061674009,0,1,0.978306508,0.021693492,0,0,0.75,0.229457364,0.11092437,0.18533123,0.067056706,0.465346535,0.152565257,0.6829653,0.17192429,0,0.210286914,0.103266596,0.107142857,0,0.391014975,0.128761372,0.02444795,0.014984227,0,0.056682995,0.037788663,,,,,,,,,0.154,0.351,0.754,0.747,0.417,0.418,0.158,0.654,0.237,0.098,0.114,0.187,0.14,0.326,0.089,0.312,4.247782012,4.464133445,4.486431341,,,,,,0,0.15,1_Low,0.474996389,,,0.338772528,0.517857143,0.079809758,0.088922334,0.091161122,,-0.224901112,-0.456506975,,,12/5/22 9:15
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,2015,ZCTA5 37015,37015,18361,39.7,40.6,24.6,2.68,2.66,2.74,47253,47534,35855,28313,926,34.6,96000,139800,205000,0.921899679,0.020804967,0.001906214,0.006426665,0,0.029519089,0.019443385,0.043679538,0.849245115,0.858521288,0.709424084,0.094638099,0.085152575,0.154450262,0.011267762,0.012181884,0.002617801,0.984042263,0.741808723,0.258191277,0.030888031,0.006075334,0.462669018,0.302513465,0.096984033,0.291357291,0.168969697,0.161454545,0.041131313,0.527175527,0.287323944,0.122210184,0.142966069,0.135985353,0.14063062,0.068656716,0.220868859,0.147128724,0.179239679,0.101128601,0.053757054,0.199027248,0.118664677,,,,,,,,,,,,,,,,,,,,,,,,,,2.958542315,2.94105272,3.899037791,4.937661145,37040,10494,-1185,,,,,,,,,,,,,,,,,12/5/22 9:15
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,2020,ZCTA5 37015,37015,17835,41.5,43,39.6,2.56,2.56,2.56,59144,59005,38977,60711,984,24.7,117500,175400,265000,0.92195122,0.017886179,0.007289038,0.005719092,0,0.014746285,0.032408186,0.056069526,0.843974439,0.849671598,0.761755486,0.065486626,0.066171506,0.106583072,0.024260589,0.026333558,0,0.979590692,0.732070288,0.267929712,0.024923032,0.00606878,0.325492341,0.258942703,0.088876772,0.231051166,0.161856567,0.164465881,0.0524235,0.500513121,0.152763524,0.073742853,0.16097561,0.116144219,0.110482115,0.248148148,0.250736377,0.174047197,0.091042369,0.060255095,0.037531154,0.189932004,0.106565339,3,,,5,,,,13,0.153,0.368,0.751,0.735,0.338,0.337,0.241,0.567,0.269,0.115,0.166,0.255,0.174,0.359,0.117,0.35,5.11718718,2.965643176,2.972629438,4.500089797,2.889097528,39360,19645,-383,0,0.216935484,2_Mod,0.241322001,0.087072933,0.062634989,0.254649499,-0.137176677,-0.060306126,-0.019841134,-0.030148505,0.179491432,0.007100861,0.031576718,0.601052005,0.062634989,12/5/22 9:15
